Día,Zn,Fe,Cu,Pb,Ins.,Flujo de aire al Tostador,Humedad conc,Conc. humedo alimentado (ton/hr),Agua alim. al Tostador (Lts/hr),Oxigeno consumido (m3),Concentrado Tostado,Temp. Garganta,Prom. Cama Tostador,Presion caja de viento,Produccion de calcina,%S/S
01/01/2017,51.9,8.15,1,0.68,2,42373.6237,10.45833333,28.23429688,5625,25786.8,586,900.82,890.6,1816.54,532.08,0.48
02/01/2017,50.82,8.17,1,0.68,2.02,40750.37,10.67,28.27,6750,25485.2,593,885.2,889.42,1782.77,530.74,0.48
03/01/2017,52.44,8.43,1.03,0.83,2.24,40492.24,10.59,28.27,6875,25560.6,585,879.12,889.6,1763.82,531.76,0.48
04/01/2017,52.1,8.32,1.04,0.9,2.28,42140.85,10.4,28.27,6750,25636,588,887.1,890.85,1730.66,533.28,0.48
05/01/2017,52.82,8.24,1.09,0.79,2.28,41310.63,10.26,26.53,4916.67,25560.6,535,900.85,888.48,1699.56,486.64,0.45
06/01/2017,53.32,8.48,1.05,0.8,2.42,41163.48,10.33,26.27,4666.67,25937.6,528,904.36,888.54,1693.96,481.6,0.22
07/01/2017,50.63,9.43,1.07,0.9,2.6,41911.34,10.34,27.58,4375,25485.2,556,920.52,888.53,1714.79,506.24,0.52
08/01/2017,52.9,8.38,1.04,0.8,2.34,42132.87,10.23,28.24,5299.03,25485.2,567,918.61,887.07,1692.07,519.1,0.42
09/01/2017,51.62,9.55,1.04,1.03,2.92,42150.1,10.11,28.53,5333.33,25937.6,578,919.45,887.98,1689.66,525.95,0.5
10/01/2017,50.61,9.6,1.06,0.85,2.94,41906.51,10.15,28.95,5728.86,25711.4,557,924.22,886.74,1647.13,507.57,0.34
11/01/2017,0,0,0,0,0,42396.44,10.05,29.06,5501.22,32271.2,240,880.41,855.09,1697.76,225.08,0.31
12/01/2017,51.26,9.8,1.05,0.82,2.54,42375.87,10.2,29.28,6333.33,25485.2,589,896.52,892.35,1637.05,539.96,0.35
13/01/2017,51.84,8.93,1.04,1,2.58,42155.5,10.22,29.81,7916.67,25711.4,609,879.11,892.7,1598.41,548.97,0.39
14/01/2017,51.63,8.35,1.04,0.92,2.7,42242.58,10.16,29.56,7969.4,25786.8,604,875.17,896.19,1600.92,543.35,0.42
15/01/2017,51.98,8.2,1.06,0.87,2.34,42332.97,10.03,29.47,9416.67,25334.4,598,863.82,891.49,1529.57,543.64,0.35
16/01/2017,53.27,8.18,1.07,0.99,2.46,42161.19,9.98,29.2,9089.65,25862.2,597,849.05,891.26,1567.93,538.72,0.48
17/01/2017,51.19,7.87,1.07,1.12,2.78,41970.93,10.16,29.05,8833.33,25636,603,856.06,896.85,1587.57,533.14,0.48
18/01/2017,51.34,8.03,1.08,0.92,2.98,42281.74,10.13,29.05,8208.33,25937.6,595,883.69,896.64,1640.27,535,0.32
19/01/2017,51.92,8.33,1.17,0.65,2.88,42200.22,9.97,29.19,8055.94,25485.2,595,898.59,890.18,1637.91,535,0.48
20/01/2017,52.75,8.37,1,0.58,2.72,42079.08,10.25,29.12,8000,25711.4,600,879.62,891.78,1648.59,539.4,0.52
21/01/2017,52.99,8.25,1.19,0.57,2.66,41625.92,10.33,28.9,8084.21,25636,584,875.76,891.7,1659.3,530.32,0.55
22/01/2017,53.32,8.3,1.24,0.62,2.78,42173.37,10.04,28.86,7916.67,25636,594,880.62,890.12,1690.42,535.8,0.58
23/01/2017,52.86,8.39,1.12,0.53,2.42,41367.07,10.13,28.5,7375,25183.6,590,884.15,886.55,1658.18,528.82,0.48
24/01/2017,53.68,8.5,1.18,0.58,3,41218,9.95,28.47,6592.02,26088.4,587,905.76,888.78,1657.52,531.52,0.45
25/01/2017,52.93,8.12,1.09,1.04,2.6,41279.42,10.09,28.47,6708.33,25862.2,591,878.18,890.76,1657.55,535.04,0.55
26/01/2017,53.62,8.49,1.12,0.7,2.32,41434.68,10.18,28.47,6958.33,25786.8,585,876.46,887.12,1686.61,534.76,0.48
27/01/2017,52.52,8.45,1.15,0.68,2.42,40945.95,10.23,28.48,6619.82,25485.2,595,888.69,887.08,1734.97,537.14,0.55
28/01/2017,52.56,8.64,1.14,0.71,2.26,41124.6,9.92,28.5,5929.02,25786.8,601,904.59,888.49,1733.31,545.11,0.42
29/01/2017,52.35,8.42,1.16,0.7,2.4,41193.26,10.16,28.47,6208.33,25786.8,600,911.18,889.27,1734.18,544.23,2.4
30/01/2017,52.45,9.06,1.12,0.7,2.3,41141.1,10.03,28.49,6727.02,25711.4,619,905.3,887.33,1719.51,557.11,2.3
31/01/2017,52.97,8.49,1.26,0.75,2.7,41225.41,10.09,28.49,7125,26013,625,900.97,890.2,1723.43,557,2.7
01/02/2017,52.46,8.42,1.2,0.7,2.44,41266.31,9.96,27.41,6133.52,27596.4,596,897.61,892.26,1713.49,524.48,2.44
02/02/2017,51.56,8.49,1.09,0.6,2.34,40821.73,9.98,26.53,5250,23600.2,568,901.61,890.89,1710.41,509.45,2.34
03/02/2017,52.39,8.66,1.1,0.61,2.6,40557.13,10.13,26.46,5291.67,25560.6,565,892.56,891.7,1687.65,507.54,2.6
04/02/2017,52.36,8.63,1.07,0.58,2.6,40714.09,10.1,26.47,4708.33,25711.4,544,896.65,892.53,1671.12,491.82,2.6
05/02/2017,51.53,8.58,1.12,0.61,2.6,40560.35,10.33,26.47,5541.67,25711.4,542,882.86,891.96,1648.39,490.06,2.6
06/02/2017,52.6,8.56,1.09,0.68,2.6,40615.5,10.16,26.55,5910.45,25485.2,505,871.12,883.14,1555.37,457.5,2.6
07/02/2017,52.39,8.4,1.05,0.61,2.46,40661.97,10.14,26.47,5666.67,26013,543,874.06,890.88,1619.86,490.94,2.46
08/02/2017,52.13,8.54,1.09,0.63,2.36,40490.26,10.09,26.93,5595.85,25334.4,517,859.47,882.83,1572.93,468.06,2.36
09/02/2017,51.61,8.43,1,0.63,2.44,40563.19,9.95,26.46,5822.22,25334.4,517,884.1,877.85,1598.05,459.96,2.44
10/02/2017,0,0,0,0,0,40960.68,10.1,27.38,4100,9123.4,214,850.46,848.19,1693.19,201.42,0
11/02/2017,52.23,8.7,0.96,0.62,2.8,40519.45,10.23,26.47,5041.67,25636,544,891.84,893.05,1595,490.89,2.8
12/02/2017,51.89,8.7,0.97,0.6,2.28,40573.47,10.08,26.47,6083.33,25937.6,545,881.36,893.32,1588.72,491.77,2.28
13/02/2017,51.9,8.44,0.94,0.54,2.48,40443.37,9.84,26.48,5791.67,25786.8,540.86,881.06,893.02,1582.42,488.13,2.48
14/02/2017,51.84,8.55,0.98,0.58,2.56,41101.43,10.1,26.49,5863.34,22620,513,859.2,895.27,1524.24,463.61,2.56
15/02/2017,51.79,8.68,0.98,0.63,2.84,41188.3,10.28,26.47,6041.67,25862.2,546,858.95,901.36,1556.45,490.15,2.84
16/02/2017,51.29,8.54,0.91,0.59,2.84,42904.4,10.08,26.47,6750,25786.8,545,862.93,901.06,1506.44,491.77,2.84
17/02/2017,51.82,8.68,0.98,0.58,2.76,43094.32,10.1,26.47,6791.67,25862.2,543,858.77,902,1489.21,491.66,2.76
18/02/2017,51.69,8.53,0.9,0.56,2.58,42863.9,10.03,26.47,7166.67,25711.4,552,861.51,901.98,1494.55,498.47,2.58
19/02/2017,52.4,8.58,0.95,0.57,2.64,43046.65,10,26.47,6708.33,25862.2,553,867.55,903.66,1490.52,499.35,2.64
20/02/2017,51.48,8.45,0.92,0.58,2.54,42958.89,9.98,26.45,6166.67,25786.8,552,865.73,902.77,1523.83,498.47,2.54
21/02/2017,52.59,8.26,1.07,0.69,2.36,42611.46,10.05,26.56,5595.41,25937.6,536,877.43,896.61,1561.22,484.39,2.36
22/02/2017,51.99,7.87,1.11,0.81,2.56,43051.92,10.14,26.47,5541.67,25409.8,569,873.39,900.1,1590.96,509.39,2.56
23/02/2017,52.42,7.74,1.21,0.96,2.34,43277.58,10.04,26.47,4916.67,26239.2,564,885.97,898.78,1569.77,510.57,2.34
24/02/2017,52.29,7.69,1.14,0.91,2.54,42969.58,10.13,26.47,5916.67,24429.6,565,877.7,900.14,1614.07,509.99,2.54
25/02/2017,51.18,7.88,1.07,0.82,2.36,43174.68,10.14,26.47,5833.33,25485.2,571,901.37,899.42,1620.3,512.77,2.36
26/02/2017,51.02,8.03,1,0.74,2.26,43541.24,10.08,26.8,5166.67,26013,579,908.45,902.72,1607.08,519.81,0.32
27/02/2017,51.72,8.34,1.07,0.7,2.6,43216.97,10.04,27.21,5666.67,25937.6,587,911.67,902.37,1601.32,527.19,0.29
28/02/2017,51.38,8.23,1.16,0.7,2.76,43368.08,10.05,27.62,6291.67,25560.6,596,901.03,902.7,1610.42,532.27,0.26
01/03/2017,51.75,8.22,1.21,0.7,2.82,44051.84,10,28.16,6875,25937.6,608,894.43,901.11,1612.92,545.81,0.3
02/03/2017,52.22,8.55,1.21,0.87,2.84,44067.78,10.03,28.59,6652.63,26013,608,886.74,900.43,1634.75,548.58,0.38
03/03/2017,51.1,8.8,1.18,0.66,2.78,43949.55,9.98,28.43,6625,25409.8,611,878.66,900.26,1653.43,551.22,0
04/03/2017,49.9,8.66,1.16,0.77,3.04,44056.88,10.12,28.14,4766.55,25862.2,602,909.35,899.9,1605.17,543.3,0.29
05/03/2017,50.64,8.43,1.12,0.69,2.6,44460.59,10.1,28.29,3549.06,26013,612,942.79,901.93,1566,546.56,0
06/03/2017,50.82,9.11,1.13,0.65,2.6,42037.16,10.23,28.94,3134.33,16663.4,344,901.83,864.05,1559.6,302.72,0.32
07/03/2017,0,0,0,0,0,39173.3,,,0,0,0,,,,0,0.42
08/03/2017,0,0,0,0,0,,,,0,0,0,,,,0,0.39
09/03/2017,0,0,0,0,0,,,,0,0,0,,,,0,0.36
10/03/2017,0,0,0,0,0,,,,0,0,0,,,,0,0.48
11/03/2017,0,0,0,0,0,,,,0,0,0,,,,0,0.32
12/03/2017,0,0,0,0,0,39945.31,10.08,27.75,1116.28,5881.2,180,854.23,879.83,1571.37,158.4,0.19
13/03/2017,50.67,8.77,1.11,0.69,2.72,44105.31,10.2,29.14,1881.78,24278.8,624,849.65,894.15,1706.62,562.66,0.22
14/03/2017,51.59,8.84,1.07,0.63,3.08,44117.44,10.08,29.49,3125,25786.8,633,902.06,892.1,1687.63,570.58,0.22
15/03/2017,51.79,8.86,1.16,0.69,2.92,44282.04,9.91,29.68,4387.19,26013,634,893.23,889.36,1700.26,574.8,0.19
16/03/2017,52.38,8.2,1.12,0.83,2.68,44546.91,10.15,29.78,5875,22167.6,629,882.9,891.5,1698.2,577.37,0.23
17/03/2017,51.88,8.68,1.19,0.76,3.1,44534.5,10.25,29.87,6041.67,26013,632,864.46,893.46,1691.28,578.01,0.19
18/03/2017,52.93,8.6,1.08,0.85,2.92,44691.01,10.28,30,6833.33,25711.4,635,873.41,891.83,1670.32,580.65,0.26
19/03/2017,52.12,8.75,1.18,0.76,3.26,44703.92,10.23,30.07,6916.67,25711.4,636,874.53,890.39,1635.55,581.62,0.34
20/03/2017,52.26,8.46,1.07,0.85,2.96,44611.56,10.21,30.07,7666.67,25937.6,636,862.44,892.98,1584.32,581.64,0.35
21/03/2017,51.86,8.34,1.02,0.9,2.7,44742.2,10.16,30.07,7666.67,26013,640,874.11,895.17,1609.92,582.16,0.22
22/03/2017,51.37,8.38,1.01,0.77,1.8,44740.53,10.08,30.06,7500,25711.4,659,882.4,890.68,1565.06,601.52,0.39
23/03/2017,52.15,8.2,1.03,0.84,3.16,44766.36,10.23,30.07,7666.67,25937.6,641,876.28,896.85,1569.08,581.44,0.32
24/03/2017,53.82,8.58,1.02,0.78,2.6,44795.43,10.12,30.07,7708.33,21639.8,642,876.83,897.54,1574.44,582.32,0.39
25/03/2017,51.13,7.85,1.07,0.92,2.68,44876.78,10.08,30.07,7375,20433.4,651,891.47,898.4,1539.03,580.88,0.39
26/03/2017,53,8.45,1.04,0.8,2.44,44804.3,9.99,30.07,7375,20207.2,654,903.55,899.6,1520.95,581.89,0.58
27/03/2017,50.8,8.6,1.15,0.77,2.66,44744.53,10.19,29.27,6416.67,20282.6,624,896.1,898.17,1584.7,566.48,0.35
28/03/2017,52.12,8.69,1.13,0.83,2.76,44553.4,10.05,29.06,7291.67,20282.6,620,886.16,897.91,1594.66,563.93,0.42
29/03/2017,14.19,26.58,1.2,5.92,0,46327.22,10.1,29.32,7520.89,20433.4,624,886.69,896.64,1605.44,566.5,0.35
30/03/2017,13.95,25.31,1.15,5.5,0,46545.91,10.18,29.47,7333.33,19679.4,627,894.6,897.35,1630.06,570.62,0.35
31/03/2017,16.62,29.52,1.4,4.61,0,46164.35,10.13,29.5,7000,24429.6,640,902.02,896.96,1636.93,581.51,0.35
01/04/2017,52.94,8.16,1.12,0.68,3.14,46313.76,9.88,29.44,7217.39,24580.4,616,909.07,897.78,1618.08,547.08,0.35
02/04/2017,53.5,8.25,1.12,0.66,2.85,46162.21,10.12,29.5,7385.26,26239.2,637,902.87,897.68,1654.41,569.09,0.39
03/04/2017,52.52,7.86,1.18,0.6,3.48,46067.19,10.14,29.47,6583.33,25862.2,630,901.47,897.57,1692.43,570.28,0.32
04/04/2017,52.86,7.75,1.15,0.62,3.14,44555.67,10.06,29.5,6025.1,25937.6,626,913.59,897.55,1718.93,569.09,0.32
05/04/2017,53.46,7.7,1.23,0.71,3.48,44555.55,10.09,29.47,5083.33,25862.2,628,918.79,897.01,1743.94,570.85,0.22
06/04/2017,53.4,7.72,1.19,0.72,2.72,44801.67,10.38,29.47,4916.67,26013,623,917.73,896.06,1721.55,569.45,0.28
07/04/2017,51.19,8.43,1.15,0.97,4.1,44736.14,10.23,29.46,5250,26013,624,916.54,897.98,1702.34,570.36,0.26
08/04/2017,50.71,8.36,1.18,0.99,3.64,43283.67,10.02,29.47,5173.91,25711.4,599,909.66,891.42,1645.55,548.37,0.26
09/04/2017,51.39,8.33,1.15,0.95,3.64,44682.03,10.05,29.47,5250,26013,626,910.78,896.05,1711.74,571.51,0.31
10/04/2017,50.51,8.23,1.14,0.94,3.5,44714.17,10.25,29.47,5375,25937.6,624,908.08,895.91,1718.42,570.37,0.37
11/04/2017,50.87,8.36,1.17,1.03,3.6,44666.12,10.12,29.45,5549.37,25862.2,626,900.85,897.16,1719.74,569.91,0.29
12/04/2017,50.84,8.44,1.13,1.03,3.54,44682.3,10.06,29.47,6041.67,25862.2,624,909.96,895.32,1716.3,571.77,0.29
13/04/2017,53.08,8.71,1.16,1.05,3.88,44713.97,10.15,29.6,5716.27,26088.4,629,904.07,894.5,1721.51,568.65,0.26
14/04/2017,50.26,8.33,1.12,1.03,4.72,44698.38,10.09,29.67,6000,25862.2,634,910.82,894.66,1727.79,570.17,0.26
15/04/2017,52.06,8.65,1.12,1,3.64,44712.56,10,29.67,5929.02,25862.2,642,915.31,894.12,1733.27,568.84,0.29
16/04/2017,52.1,8.69,1.18,0.97,3.6,44791.13,10.23,29.66,6375,26088.4,629,916.8,892.56,1744.49,569.8,0.26
17/04/2017,51.84,8.69,1.17,0.96,3.12,44728.53,10.35,29.64,6091.79,25937.6,621,904.72,892.85,1776.64,565.26,0.22
18/04/2017,51.67,8.61,1.21,0.94,3.26,44552.36,10.19,29.66,5458.33,25862.2,619,911.61,892.53,1778.71,567.32,0.22
19/04/2017,51.87,8.6,1.21,0.92,3.32,44733.01,10.33,29.7,5803.76,26088.4,628,907.64,891.89,1769.37,560.3,0.19
20/04/2017,51.82,8.52,1.35,0.92,3.9,44815.34,10.18,29.64,5250,25786.8,634,914.74,892.81,1778.68,560.42,0.26
21/04/2017,52.39,8.61,1.36,0.89,3.56,44689.53,10.13,29.88,6504.52,26013,636,889.31,894.62,1811.72,565.08,0.35
22/04/2017,51.81,8.55,1.32,0.76,3.5,44878.26,10.08,29.86,3991.67,25937.6,638,906.21,894.82,1853.08,565.52,0.32
23/04/2017,51.13,8.45,1.3,0.75,3.6,44813.91,10.28,29.82,2583.33,26013,637,913.1,894.75,1827.15,563.06,0.32
24/04/2017,51.65,8.49,1.28,0.66,3.06,44689,10.26,30.01,3375,24128,625,908.41,893.77,1793.32,564.33,0.26
25/04/2017,51.27,8.54,1.32,0.71,3.24,44688.58,10.28,30.06,3958.33,26239.2,624,905.02,894.88,1787.29,565.95,0.29
26/04/2017,52.46,8.8,1.31,0.87,2.9,44951.61,10.32,30.04,3708.33,25862.2,626,901.02,894.35,1790.09,565.21,0.31
27/04/2017,52.78,8.69,1.12,0.84,2.82,44817.89,10.3,30.06,3416.67,26239.2,624,912.57,894.04,1793.87,565.95,0.32
28/04/2017,51.85,8.56,1.19,0.76,2.82,44718.49,10.41,30.07,3708.33,26088.4,626,916.88,892.38,1795.1,558.51,0.32
29/04/2017,51.26,8.88,1.22,0.84,3.6,44734.77,10.42,30.07,4166.67,26088.4,500,915.05,892.16,1775.39,456.78,0.35
30/04/2017,51.59,8.9,1.2,0.85,3.46,44983.68,10.43,30.09,3583.33,25862.2,620,929.2,892.03,1784.63,559.72,0.32
01/05/2017,51.49,8.89,1.22,0.89,3.6,44780.72,10.48,30.05,4125,26163.8,621,914.47,892.06,1809.99,558.26,0.32
02/05/2017,50.97,8.79,1.22,0.79,3.46,44849.52,10.31,30.07,3836,25937.6,615,909.55,892.92,1852.46,560.98,0.29
03/05/2017,51.52,8.57,1.21,0.77,3.44,43023.23,10.16,30.09,3681.52,26013,595,906.26,888.15,1854.25,532.91,0.35
04/05/2017,53.47,7.81,1.25,0.8,3.24,44926.46,10.27,30.07,4166.67,26314.6,627,904.54,890.4,1863.05,559.76,0.48
05/05/2017,53.75,7.87,1.23,0.77,3.16,44974.06,10.26,30.07,4041.67,26088.4,627,910.94,890.35,1869.68,559.76,0.35
06/05/2017,52.31,7.92,1.25,0.75,3.28,44906.48,10.19,30.04,4000,26390,635,916.32,891.21,1876.12,581.4,0.35
07/05/2017,52.22,7.4,1.16,0.63,3.06,44284.84,10.16,28.76,3125,25862.2,585,905.07,889.27,1884.87,537.4,0.39
08/05/2017,52.22,7.44,1.23,0.67,2.82,44720.37,10.23,29.48,3833.33,26163.8,605,889.54,889.32,1839.95,549.5,0.35
09/05/2017,52.22,7.37,1.19,0.69,2.78,44850.57,10.18,30.06,4000,26088.4,623,905.79,891.18,1873.93,561.11,0.32
10/05/2017,53.33,7.68,1.19,0.79,2.82,42883.26,10.11,27.13,2916.67,25937.6,568,894.06,889.59,1812.16,504.84,0.19
11/05/2017,53.07,7.73,1.24,0.8,2.5,42731.78,10.06,26.6,2625,26465.4,557,907.7,888.16,1810.35,495.16,0.22
12/05/2017,52.99,7.9,1.14,0.78,2.36,42953.71,10.26,26.62,2803.35,25862.2,557,894.26,886.29,1819.42,495.16,0.22
13/05/2017,52.99,7.98,1.21,0.82,2.26,42762.81,10.09,26.62,3041.67,26013,558,880.38,879.63,1819.2,499.04,0.32
14/05/2017,52.92,7.93,1.2,0.83,2.36,42753.58,10.33,26.61,3375,25636,556,872.11,876.87,1814.93,497.28,0.26
15/05/2017,53.5,7.82,1.34,0.79,2.34,42642.8,10.28,26.61,3375,26088.4,545,872.29,876.74,1814.61,498.77,0.29
16/05/2017,53.69,7.69,1.41,0.85,2.34,42745.28,10.03,26.58,3125,25711.4,543,870.49,875.4,1826.81,500.01,0.22
17/05/2017,53.38,7.49,1.44,0.93,2.34,42734.03,10.08,26.6,3166.67,25862.2,543,890.27,873.99,1837.97,500.01,0.22
18/05/2017,53.92,7.77,1.38,1.01,2.16,42858.91,10.25,26.61,3208.33,25786.8,550,885.29,886.91,1821.19,498.3,0.23
19/05/2017,54.39,7.93,1.17,0.93,1.96,42689.07,10.13,26.63,3583.33,23374,561,905.49,884.77,1820.83,498.68,0.26
20/05/2017,53.88,7.7,1.34,0.99,2.42,42905.16,10.16,26.59,3541.67,25937.6,546,909.47,887.93,1808.8,499.04,0.19
21/05/2017,53.18,7.65,1.34,0.94,2.26,43060.22,10.08,26.58,3333.33,25786.8,553,897.09,884.12,1815.55,505.2,0.26
22/05/2017,53.78,7.57,1.18,0.96,2.06,42851.25,10.14,26.6,3666.67,26163.8,557,892.41,885.2,1819.53,504.71,0.16
23/05/2017,54,7.59,1.19,0.9,2.24,42685.62,10.33,26.57,3166.67,25636,554,898,885.12,1811.33,503.05,0.22
24/05/2017,52.71,7.51,1.31,0.94,2.2,42796.95,10.24,26.57,3166.67,26013,559,899.87,885.48,1795.01,502.93,0.21
25/05/2017,53.43,7.57,1.12,0.97,2.16,43095.28,10.32,26.56,3583.33,25711.4,564,880.59,887.62,1776.67,501.32,0.22
26/05/2017,53.82,7.45,1.15,1,2.56,42706.3,10.23,26.57,3791.67,26013,562,893.23,888.04,1765.17,502.56,0.18
27/05/2017,53.46,7.42,1.18,1,2.52,42918.04,10,26.58,3541.67,26013,564,888.83,888.46,1763.16,504.32,0.48
28/05/2017,53.61,7.14,1.13,0.96,2.48,42615.17,10.27,26.57,4166.67,25937.6,554,871.43,890.5,1756.38,503.09,0.38
29/05/2017,54.15,6.91,1.14,0.95,2.62,42701.34,10.44,26.54,3833.33,25937.6,557,868.37,890.17,1752.27,501.06,0.27
30/05/2017,53.87,6.95,1.13,0.92,2.64,44650.7,10.21,26.57,3718.66,26013,562,871.8,888.91,1745.62,507.87,0.42
31/05/2017,54.15,6.84,1.17,0.93,3.18,44791.59,10.02,26.59,3166.67,25862.2,580,887.54,888.43,1780.46,517.97,0.58
01/06/2017,53.82,6.72,1.18,0.87,2.48,46113.12,10.23,28.02,3291.67,25862.2,601,905.32,896.85,1820.63,536.45,0
02/06/2017,52.48,6.61,1.2,0.87,2.6,46219.49,10.33,28.27,2916.67,25636,600,920.08,894.51,1809.39,540.57,0.26
03/06/2017,51.15,8.13,0.95,0.98,2.06,46280.94,10.63,28.27,2708.33,26163.8,595,938.89,893.88,1797.91,539.24,0.26
04/06/2017,51,8.21,0.94,0.98,1.98,46108.1,10.53,28.27,2458.33,25937.6,596,943.35,894.68,1789.3,540.23,0.26
05/06/2017,51.98,8.28,0.87,0.93,2.06,46132.97,10.35,28.27,2791.67,25862.2,597,938.08,893.85,1783.6,541.11,0.22
06/06/2017,51.16,8.18,1.11,1.07,2.24,46378.33,10.52,28.26,2750,25862.2,596,937.23,893.97,1787.6,540.23,0.19
07/06/2017,52.46,8.09,1.12,1.08,2.36,46425.37,10.39,28.27,2500,25862.2,597,940.9,892.19,1782.35,541.11,0.23
08/06/2017,51.89,8.14,1.11,1.02,2.56,46389.67,10.28,28.27,2750,26088.4,598,934.18,891.54,1783.11,541.99,0.22
09/06/2017,52.43,7.92,1.11,1.05,2.44,46137.98,10.33,28.27,3375,25786.8,597,934.58,893.56,1818.17,541.11,0.22
10/06/2017,52.95,7.41,1.04,0.83,2.68,46520.24,10.54,28.27,3000,25937.6,589,924.66,897.67,1849.34,541.1,0.16
11/06/2017,53.7,7.42,1.01,0.81,2.42,46156.4,10.41,28.25,2500,26013,589,934.38,897.18,1835.14,541.1,0.26
12/06/2017,53.27,7.78,0.88,0.85,1.8,46425.06,10.38,28.52,2793.61,26013,598,939.34,895.63,1825.12,546.02,0.22
13/06/2017,52.69,8.51,0.91,0.71,2,46284.59,10.34,28.7,2713.99,25862.2,608,952.04,896.53,1824.11,547.47,0.23
14/06/2017,52.83,8.5,0.86,0.74,2,46274.62,10.25,28.67,2833.33,25786.8,614,960.82,893.91,1797.33,548.32,0.26
15/06/2017,52.32,8.91,0.89,0.66,2.14,46344.27,10.22,29.13,2708.33,25937.6,624,966.97,894.12,1800.64,557.12,0.26
16/06/2017,51.37,8.75,0.89,0.59,1.92,46187.84,10.49,29.15,3333.33,25711.4,626,962.88,895.64,1812.36,555.88,0.26
17/06/2017,52.12,8.87,1,0.63,2.16,46347.9,10.38,29.27,3250,26163.8,626,970.68,898.41,1821.31,558.88,0.26
18/06/2017,51.61,8.78,1.04,0.64,2.04,46196.65,10.31,29.27,2791.67,25786.8,612,967.52,898.31,1845.08,561.47,0.22
19/06/2017,51.88,8.69,0.91,0.68,1.74,46377.06,10.21,29.27,2958.33,25937.6,615,960.91,897.04,1842.47,561.11,0.22
20/06/2017,53.24,8.6,0.88,0.66,1.84,46180.51,10.09,29.14,1626.13,25937.6,610,967.01,894.28,1852.62,559.71,0.22
21/06/2017,51.56,8.47,0.84,0.74,1.6,46348.66,10.26,29.27,2458.33,25862.2,614,975.18,893.2,1827.17,560.79,0.32
22/06/2017,52.19,8.55,0.86,0.59,2.32,46276.75,10.04,29.27,2125,25937.6,608,956.84,893.7,1826.29,563.47,0.26
23/06/2017,52.07,8.32,0.94,0.79,2.46,46278.03,10.15,29.27,3166.67,26088.4,610,944.11,899.37,1774.06,562.23,0.19
24/06/2017,52.42,8.27,0.92,0.83,2.32,46309.99,10.25,29.54,1995.75,25786.8,600,947.77,892.18,1758.5,556.44,0.19
25/06/2017,51.94,8.08,0.99,0.87,2.22,46367.37,10.05,29.25,2168.17,25937.6,608,951.34,892.61,1742.45,562.33,0.21
26/06/2017,53.54,7.98,1.06,0.97,2.7,46267.76,10.18,29.65,3625,25937.6,639,937.39,896.73,1693.66,567.32,0.18
27/06/2017,52.01,7.89,1.12,1.19,2.56,46280.81,10.18,29.65,3089.77,25786.8,605,939.7,894.09,1689.2,570.09,0.26
28/06/2017,51.8,7.75,1.1,1.07,2.72,46419.86,10.23,29.67,3208.33,26013,612,925.83,893.84,1686.69,570.27,0.23
29/06/2017,52.37,7.61,1.1,1.09,2.92,42308.89,9.9,30.36,3029.64,24731.2,400,915,892.79,1575.57,357,0.24
30/06/2017,51.23,7.39,1.23,1.34,2.84,44459.45,10.15,29.95,4250,25937.6,640,921.62,896.06,1645.69,573.2,0.21
01/07/2017,53.59,7.13,1.01,0.89,2.38,43932.95,10.13,30.19,3305.08,26314.6,622,917.59,893.33,1649.09,570.31,0.16
02/07/2017,54.69,7.33,1,0.89,2.38,44851.81,10.29,30.04,3752.61,25862.2,627,915.08,893.67,1625.02,575.06,0.22
03/07/2017,53.9,7.27,1.05,1,2.44,43589.23,10.32,30.16,3792.45,21413.6,481,917.99,894.78,1483.18,423.28,0.22
04/07/2017,0,0,0,0,0,41069.12,,,0,0,0,,,,0,0.44
05/07/2017,0,0,0,0,0,,,,0,0,0,,,,0,0.22
06/07/2017,0,0,0,0,0,,,,0,0,0,,,,0,0.23
07/07/2017,0,0,0,0,0,,,,0,0,0,,,,0,0.22
08/07/2017,0,0,0,0,0,,,,0,0,0,,922.58,,0,0.42
09/07/2017,0,0,0,0,0,,,,0,0,0,,,,0,0
10/07/2017,0,0,0,0,0,,,,0,0,0,,,,0,0.28
11/07/2017,0,0,0,0,0,,,,0,0,0,,,,0,0.29
12/07/2017,0,0,0,0,0,,,,0,0,0,,,,0,0
13/07/2017,0,0,0,0,0,,,,0,0,0,,,,0,0
14/07/2017,0,0,0,0,0,,,,0,0,0,,,,0,0
15/07/2017,0,0,0,0,0,,,,0,0,0,,,,0,0
16/07/2017,0,0,0,0,0,,,,0,0,0,,,,0,0.19
17/07/2017,0,0,0,0,0,49033.22,,,0,0,0,,,,0,0.18
18/07/2017,0,0,0,0,0,48298.13,,,0,0,0,,,,0,0.26
19/07/2017,0,0,0,0,0,48298.13,,,0,0,0,,,,0,0.23
20/07/2017,0,0,0,0,0,48298.13,,,0,0,0,,,,0,0
21/07/2017,0,0,0,0,0,45228.9,,,0,0,0,,,,0,0.23
22/07/2017,0,0,0,0,0,44842.16,,,0,0,0,,,,0,0.28
23/07/2017,0,0,0,0,0,41995.36,,,0,0,0,,,,0,0.28
24/07/2017,0,0,0,0,0,,9.85,26.71,0,2563.6,136,847.71,843.44,1506.81,119.68,0.26
25/07/2017,53.21,7.21,1.01,0.96,2.54,42946.8,9.6,28.16,458.33,21187.4,615,816.88,897.07,1644.82,541.2,0.37
